site,date_time,p_h,temp_c,tide_height
Alegria,6/18/2021 12:00,8.145191811,16.47222222,0.850077
Alegria,6/18/2021 12:15,8.154426681,16.63333333,0.962769
Alegria,6/18/2021 12:30,8.159113693,16.69444444,1.09583
Alegria,6/18/2021 12:45,8.152755916,16.86666667,1.247594
Alegria,6/18/2021 13:00,8.144306714,17.06111111,1.416245
Alegria,6/18/2021 13:15,8.140029617,17.08333333,1.599734
Alegria,6/18/2021 13:30,8.133788182,16.98333333,1.795575
Alegria,6/18/2021 13:45,8.124923046,16.86666667,2.001772
Alegria,6/18/2021 14:00,8.117056514,16.94444444,2.215533
Alegria,6/18/2021 14:15,8.114475072,16.92222222,2.43417
Alegria,6/18/2021 14:30,8.11116944,17.02777778,2.654676
Alegria,6/18/2021 14:45,8.109267658,17.02777778,2.874758
Alegria,6/18/2021 15:00,8.107225388,17.07222222,3.091386
Alegria,6/18/2021 15:15,8.100164308,17.09444444,3.301824
Alegria,6/18/2021 15:30,8.097939357,17.11666667,3.50342
Alegria,6/18/2021 15:45,8.106869682,17.21111111,3.693439
Alegria,6/18/2021 16:00,8.117811215,17.22222222,3.869937
Alegria,6/18/2021 16:15,8.119947508,17.29444444,4.030516
Alegria,6/18/2021 16:30,8.132191358,17.23333333,4.173218
Alegria,6/18/2021 16:45,8.134308192,17.31666667,4.296212
Alegria,6/18/2021 17:00,8.13444774,17.33888889,4.398345
Alegria,6/18/2021 17:15,8.12996984,17.38333333,4.478334
Alegria,6/18/2021 17:30,8.128708015,17.40555556,4.535357
Alegria,6/18/2021 17:45,8.117599412,17.45555556,4.568892
Alegria,6/18/2021 18:00,8.103962868,17.42777778,4.578848
Alegria,6/18/2021 18:15,8.09951562,17.32777778,4.565068
Alegria,6/18/2021 18:30,8.098661184,17.29444444,4.527926
Alegria,6/18/2021 18:45,8.090376904,17.21111111,4.468197
Alegria,6/18/2021 19:00,8.095407772,17.18888889,4.387088
Alegria,6/18/2021 19:15,8.099711845,17.21111111,4.286085
Alegria,6/18/2021 19:30,8.094904348,17.22222222,4.167101
Alegria,6/18/2021 19:45,8.08713954,17.22222222,4.031899
Alegria,6/18/2021 20:00,8.079252756,17.23333333,3.882853
Alegria,6/18/2021 20:15,8.07015914,17.2,3.722409
Alegria,6/18/2021 20:30,8.063148708,17.15555556,3.553354
Alegria,6/18/2021 20:45,8.056238666,17.10555556,3.378022
Alegria,6/18/2021 21:00,8.053151177,17.06111111,3.199376
Alegria,6/18/2021 21:15,8.04697534,17.06111111,3.020221
Alegria,6/18/2021 21:30,8.04590258,17.02777778,2.843538
Alegria,6/18/2021 21:45,8.037320359,16.97777778,2.671656
Alegria,6/18/2021 22:00,8.030946473,16.91111111,2.507393
Alegria,6/18/2021 22:15,8.029910856,16.80555556,2.353217
Alegria,6/18/2021 22:30,8.023568834,16.77222222,2.21156
Alegria,6/18/2021 22:45,8.02168411,16.70555556,2.084162
Alegria,6/18/2021 23:00,8.017213316,16.67222222,1.972987
Alegria,6/18/2021 23:15,8.011644636,16.58888889,1.879545
Alegria,6/18/2021 23:30,8.009320897,16.56666667,1.805108
Alegria,6/18/2021 23:45,8.00872443,16.53333333,1.750377
Alegria,6/19/2021 0:00,8.000618902,16.49444444,1.715968
Alegria,6/19/2021 0:15,7.994010655,16.41666667,1.702048
Alegria,6/19/2021 0:30,7.991735449,16.35555556,1.708269
Alegria,6/19/2021 0:45,7.988115766,16.26666667,1.73379
Alegria,6/19/2021 1:00,7.985345332,16.15,1.777815
Alegria,6/19/2021 1:15,7.983395093,16.04444444,1.839086
Alegria,6/19/2021 1:30,7.979591011,16.04444444,1.916283
Alegria,6/19/2021 1:45,7.971619613,16.03333333,2.007512
Alegria,6/19/2021 2:00,7.97605668,15.94444444,2.111013
Alegria,6/19/2021 2:15,7.964368661,15.98888889,2.224386
Alegria,6/19/2021 2:30,7.969299847,15.87222222,2.345544
Alegria,6/19/2021 2:45,7.957961771,15.94444444,2.471749
Alegria,6/19/2021 3:00,7.949875657,15.88333333,2.600725
Alegria,6/19/2021 3:15,7.967711775,15.7,2.729584
Alegria,6/19/2021 3:30,7.95541067,15.63333333,2.856011
Alegria,6/19/2021 3:45,7.94342911,15.72222222,2.977169
Alegria,6/19/2021 4:00,7.944271294,15.67777778,3.090738
Alegria,6/19/2021 4:15,7.959101398,15.62222222,3.194494
Alegria,6/19/2021 4:30,7.951787997,15.62222222,3.286041
Alegria,6/19/2021 4:45,7.950022686,15.63333333,3.363625
Alegria,6/19/2021 5:00,7.93694716,15.67777778,3.425361
Alegria,6/19/2021 5:15,7.911767988,15.73333333,3.469943
Alegria,6/19/2021 5:30,7.931581617,15.64444444,3.496133
Alegria,6/19/2021 5:45,7.917056309,15.64444444,3.503162
Alegria,6/19/2021 6:00,7.92908283,15.56111111,3.490232
Alegria,6/19/2021 6:15,7.916780152,15.57222222,3.457028
Alegria,6/19/2021 6:30,7.922722591,15.55,3.403773
Alegria,6/19/2021 6:45,7.916040309,15.55,3.331048
Alegria,6/19/2021 7:00,7.916969103,15.55,3.239795
Alegria,6/19/2021 7:15,7.933931165,15.50555556,3.131295
Alegria,6/19/2021 7:30,7.940776229,15.49444444,3.007152
Alegria,6/19/2021 7:45,7.945010306,15.53888889,2.869268
Alegria,6/19/2021 8:00,7.959002668,15.55,2.719809
Alegria,6/19/2021 8:15,7.980985663,15.56111111,2.561177
Alegria,6/19/2021 8:30,7.989180376,15.61111111,2.395963
Alegria,6/19/2021 8:45,7.998561444,15.65555556,2.226913
Alegria,6/19/2021 9:00,8.013394124,15.71111111,2.056879
Alegria,6/19/2021 9:15,8.034115673,15.80555556,1.888773
Alegria,6/19/2021 9:30,8.047070801,15.89444444,1.725521
Alegria,6/19/2021 9:45,8.061714939,15.92222222,1.570016
Alegria,6/19/2021 10:00,8.07703762,16.04444444,1.425065
Alegria,6/19/2021 10:15,8.111176901,16.15064849,1.2933865
Alegria,6/19/2021 10:30,8.144932374,16.25555556,1.177383
Alegria,6/19/2021 10:45,8.157593845,16.31111111,1.079457
Alegria,6/19/2021 11:00,8.161358251,16.34444444,1.001616
Alegria,6/19/2021 11:15,8.195805638,16.45,0.945615
Alegria,6/19/2021 11:30,8.19629901,16.6,0.912894
Alegria,6/19/2021 11:45,8.211842616,16.64444444,0.904546
Alegria,6/19/2021 12:00,8.249411168,16.81666667,0.920961
Alegria,6/19/2021 12:15,8.218578634,16.80555556,0.962344
Alegria,6/19/2021 12:30,8.234492398,16.86666667,1.028669
Alegria,6/19/2021 12:45,8.214484136,16.86666667,1.119428
Alegria,6/19/2021 13:00,8.190765621,16.78333333,1.23406
Alegria,6/19/2021 13:15,8.181201086,16.80555556,1.371351
Alegria,6/19/2021 13:30,8.167241899,16.80555556,1.529639
Alegria,6/19/2021 13:45,8.154556829,16.92222222,1.707475
Alegria,6/19/2021 14:00,8.145705243,16.79444444,1.902585
Alegria,6/19/2021 14:15,8.160604749,16.65555556,2.112342
Alegria,6/19/2021 14:30,8.164833318,16.73888889,2.334589
Alegria,6/19/2021 14:45,8.150372935,16.64444444,2.566264
Alegria,6/19/2021 15:00,8.148543736,16.68333333,2.804097
Alegria,6/19/2021 15:15,8.159721579,16.68333333,3.045493
Alegria,6/19/2021 15:30,8.139679677,16.75,3.286985
Alegria,6/19/2021 15:45,8.148727783,16.72777778,3.525068
Alegria,6/19/2021 16:00,8.162947128,16.70555556,3.75705
Alegria,6/19/2021 16:15,8.154199934,16.69444444,3.979254
Alegria,6/19/2021 16:30,8.185462611,16.68333333,4.189119
Alegria,6/19/2021 16:45,8.188106404,16.64444444,4.383483
Alegria,6/19/2021 17:00,8.139390868,16.80555556,4.559445
Alegria,6/19/2021 17:15,8.147405933,16.81666667,4.714922
Alegria,6/19/2021 17:30,8.116991108,16.94444444,4.847503
Alegria,6/19/2021 17:45,8.123961536,16.94444444,4.955183
Alegria,6/19/2021 18:00,8.098115307,17.03888889,5.036641
Alegria,6/19/2021 18:15,8.085484364,17.10555556,5.090541
Alegria,6/19/2021 18:30,8.083522449,17.16666667,5.116049
Alegria,6/19/2021 18:45,8.071986604,17.24444444,5.112697
Alegria,6/19/2021 19:00,8.069081186,17.22222222,5.079984
Alegria,6/19/2021 19:15,8.061860331,17.22222222,5.018341
Alegria,6/19/2021 19:30,8.057746513,17.24444444,4.928444
Alegria,6/19/2021 19:45,8.050245238,17.22222222,4.81171
Alegria,6/19/2021 20:00,8.044621018,17.2,4.669662
Alegria,6/19/2021 20:15,8.042164906,17.15555556,4.504075
Alegria,6/19/2021 20:30,8.034067279,17.10555556,4.31763
Alegria,6/19/2021 20:45,8.02819913,17.03888889,4.112534
Alegria,6/19/2021 21:00,8.023563029,17.02777778,3.892123
Alegria,6/19/2021 21:15,8.019579089,16.97777778,3.659019
Alegria,6/19/2021 21:30,8.015958222,16.95555556,3.41702
Alegria,6/19/2021 21:45,8.029220304,16.85555556,3.169
Alegria,6/19/2021 22:00,8.016117005,16.88888889,2.918989
Alegria,6/19/2021 22:15,8.02076934,16.76111111,2.66994
Alegria,6/19/2021 22:30,8.002211889,16.79444444,2.425868
Alegria,6/19/2021 22:45,8.01625616,16.69444444,2.189875
Alegria,6/19/2021 23:00,8.000174078,16.71666667,1.964953
Alegria,6/19/2021 23:15,7.994200945,16.64444444,1.754646
Alegria,6/19/2021 23:30,7.989199522,16.63333333,1.561301
Alegria,6/19/2021 23:45,7.974671658,16.63333333,1.387871
Alegria,6/20/2021 0:00,7.969273331,16.62222222,1.236175
Alegria,6/20/2021 0:15,7.955359761,16.66666667,1.108395
Alegria,6/20/2021 0:30,7.948929468,16.67222222,1.005707
Alegria,6/20/2021 0:45,7.936480893,16.62222222,0.929386
Alegria,6/20/2021 1:00,7.936248472,16.57777778,0.87993
Alegria,6/20/2021 1:15,7.931553657,16.62222222,0.857518
Alegria,6/20/2021 1:30,7.922703715,16.66666667,0.861838
Alegria,6/20/2021 1:45,7.909756178,16.64444444,0.891809
Alegria,6/20/2021 2:00,7.909647223,16.6,0.946346
Alegria,6/20/2021 2:15,7.908384052,16.63333333,1.024012
Alegria,6/20/2021 2:30,7.906864818,16.62222222,1.122887
Alegria,6/20/2021 2:45,7.899153007,16.63333333,1.241071
Alegria,6/20/2021 3:00,7.900880567,16.64444444,1.376051
Alegria,6/20/2021 3:15,7.898444664,16.66666667,1.52516
Alegria,6/20/2021 3:30,7.907728676,16.63333333,1.685526
Alegria,6/20/2021 3:45,7.903586486,16.63333333,1.85393
Alegria,6/20/2021 4:00,7.908531338,16.62222222,2.027613
Alegria,6/20/2021 4:15,7.891767757,16.61111111,2.203203
Alegria,6/20/2021 4:30,7.899191541,16.57777778,2.377509
Alegria,6/20/2021 4:45,7.900624003,16.55555556,2.547394
Alegria,6/20/2021 5:00,7.892448112,16.54444444,2.70965
Alegria,6/20/2021 5:15,7.95578484,16.38333333,2.861767
Alegria,6/20/2021 5:30,7.94804348,16.40555556,3.000888
Alegria,6/20/2021 5:45,7.957983348,16.32222222,3.124592
Alegria,6/20/2021 6:00,7.972147596,16.27777778,3.230748
Alegria,6/20/2021 6:15,7.98839201,16.23333333,3.317462
Alegria,6/20/2021 6:30,7.976879265,16.21111111,3.38348
Alegria,6/20/2021 6:45,7.987007871,16.20555556,3.427623
Alegria,6/20/2021 7:00,7.975972093,16.23333333,3.449217
Alegria,6/20/2021 7:15,7.98512388,16.21111111,3.447912
Alegria,6/20/2021 7:30,7.999207542,16.23333333,3.423484
Alegria,6/20/2021 7:45,8.010333026,16.16111111,3.376407
Alegria,6/20/2021 8:00,8.019800511,16.13888889,3.307788
Alegria,6/20/2021 8:15,8.025536402,16.16111111,3.218889
Alegria,6/20/2021 8:30,8.039986342,16.16111111,3.111692
Alegria,6/20/2021 8:45,8.039303475,16.17222222,2.988101
Alegria,6/20/2021 9:00,8.051941897,16.16111111,2.85084
Alegria,6/20/2021 9:15,8.057069412,16.16111111,2.702329
Alegria,6/20/2021 9:30,8.050801991,16.13888889,2.545668
Alegria,6/20/2021 9:45,8.055436901,16.15,2.384166
Alegria,6/20/2021 10:00,8.063926253,16.17222222,2.220716
Alegria,6/20/2021 10:15,8.075974979,16.21111111,2.058991
Alegria,6/20/2021 10:30,8.087541527,16.32222222,1.901961
Alegria,6/20/2021 10:45,8.100167954,16.3,1.753253
Alegria,6/20/2021 11:00,8.113963851,16.40555556,1.615718
Alegria,6/20/2021 11:15,8.126487299,16.42777778,1.492684
Alegria,6/20/2021 11:30,8.127687921,16.52222222,1.386695
Alegria,6/20/2021 11:45,8.132612648,16.50555556,1.300545
Alegria,6/20/2021 12:00,8.1402813,16.58888889,1.236304
Alegria,6/20/2021 12:15,8.184454704,16.77222222,1.196
Alegria,6/20/2021 12:30,8.165153729,16.83333333,1.181181
Alegria,6/20/2021 12:45,8.174544435,16.88888889,1.192674
Alegria,6/20/2021 13:00,8.160365969,16.96666667,1.230897
Alegria,6/20/2021 13:15,8.161035826,17.05,1.296029
Alegria,6/20/2021 13:30,8.160490745,17.2,1.388051
Alegria,6/20/2021 13:45,8.142759775,17.13333333,1.506163
Alegria,6/20/2021 14:00,8.131442923,17.11666667,1.649603
Alegria,6/20/2021 14:15,8.133164899,17.16666667,1.816809
